,0
867,-11
868,-12
869,-11
870,-12
871,-11
872,-12
873,-11
874,-12
875,-11
876,-10
877,-9
878,-8
879,-9
880,-10
881,-11
882,-10
883,-9
884,-8
885,-9
886,-8
887,-7
888,-6
889,-5
890,-6
891,-5
892,-4
893,-3
894,-4
895,-5
896,-4
897,-5
898,-6
899,-7
900,-8
901,-9
902,-8
903,-7
904,-8
905,-7
906,-6
907,-7
908,-8
909,-9
910,-8
911,-7
912,-8
913,-7
914,-8
915,-7
916,-6
917,-7
918,-8
919,-9
920,-10
921,-11
922,-12
923,-11
924,-12
925,-13
926,-14
927,-13
928,-12
929,-13
930,-12
931,-13
932,-14
933,-13
934,-14
935,-13
936,-14
937,-15
938,-16
939,-15
940,-14
941,-13
942,-12
943,-11
944,-10
945,-9
946,-8
947,-7
948,-6
949,-5
950,-6
951,-5
952,-4
953,-3
954,-4
955,-5
956,-4
957,-3
958,-2
959,-3
960,-4
961,-3
962,-2
963,-3
964,-2
965,-1
966,-2
967,-3
968,-2
969,-3
970,-4
971,-3
972,-4
973,-5
974,-4
975,-5
976,-6
977,-5
978,-6
979,-5
980,-4
981,-5
982,-6
983,-5
984,-4
985,-3
986,-4
987,-5
988,-4
989,-5
990,-4
991,-5
992,-4
993,-3
994,-4
995,-3
996,-2
997,-3
998,-4
999,-5
1000,-4
1001,-3
1002,-4
1003,-3
1004,-4
1005,-3
1006,-4
1007,-3
1008,-2
1009,-3
1010,-4
1011,-3
1012,-2
1013,-3
1014,-2
1015,-3
1016,-2
1017,-3
1018,-4
1019,-5
1020,-4
1021,-3
1022,-2
1023,-3
1024,-4
1025,-3
1026,-2
1027,-1
1028,-2
1029,-1
1030,0
1031,-1
1032,-2
1033,-1
1034,-2
1035,-1
1036,0
1037,1
1038,2
1039,1
1040,2
1041,3
1042,4
1043,3
1044,2
1045,3
1046,4
1047,3
1048,2
1049,3
1050,4
1051,5
1052,6
1053,7
1054,6
1055,7
1056,8
1057,7
1058,8
1059,9
1060,8
1061,7
1062,8
1063,9
1064,10
1065,9
1066,10
1067,11
1068,12
1069,11
1070,10
1071,11
1072,12
1073,11
1074,10
1075,9
1076,10
1077,9
1078,10
1079,9
1080,8
1081,7
1082,8
1083,7
1084,8
1085,7
1086,6
1087,5
1088,4
1089,3
1090,4
1091,5
1092,6
1093,5
1094,4
1095,3
1096,2
1097,1
1098,2
1099,1
1100,0
1101,1
1102,0
1103,1
1104,0
1105,-1
1106,0
1107,1
1108,0
1109,-1
1110,0
1111,1
1112,0
1113,-1
1114,0
1115,1
1116,0
1117,1
1118,0
1119,-1
1120,0
1121,-1
1122,-2
1123,-3
1124,-4
1125,-5
1126,-6
1127,-7
1128,-6
1129,-7
1130,-8
1131,-9
1132,-10
1133,-11
1134,-12
1135,-11
1136,-12
1137,-11
1138,-10
1139,-11
1140,-12
1141,-11
1142,-12
1143,-11
1144,-12
1145,-11
1146,-12
1147,-13
1148,-12
1149,-13
1150,-12
1151,-13
1152,-12
1153,-13
1154,-12
1155,-13
1156,-14
1157,-15
1158,-14
1159,-13
1160,-12
1161,-13
1162,-14
1163,-13
1164,-14
1165,-15
1166,-14
1167,-15
1168,-16
1169,-15
1170,-16
1171,-15
1172,-16
1173,-15
1174,-14
1175,-13
1176,-14
1177,-15
1178,-16
1179,-17
1180,-18
1181,-19
1182,-20
1183,-19
1184,-18
1185,-17
1186,-16
1187,-17
1188,-16
1189,-17
1190,-16
1191,-15
1192,-14
1193,-13
1194,-12
1195,-11
1196,-12
1197,-13
1198,-14
1199,-13
1200,-12
1201,-13
1202,-14
1203,-15
1204,-16
1205,-15
1206,-14
1207,-15
1208,-14
1209,-13
1210,-12
1211,-11
1212,-10
1213,-11
1214,-10
1215,-9
1216,-8
1217,-9
1218,-10
1219,-11
1220,-12
1221,-13
1222,-14
1223,-15
1224,-16
1225,-15
1226,-14
1227,-13
1228,-12
1229,-11
1230,-10
1231,-11
1232,-10
1233,-11
1234,-10
1235,-11
1236,-12
1237,-11
1238,-10
1239,-11
1240,-10
1241,-11
1242,-12
1243,-11
1244,-10
1245,-9
1246,-10
1247,-9
1248,-10
1249,-11
1250,-10
1251,-11
1252,-12
1253,-11
1254,-10
1255,-11
1256,-10
1257,-9
1258,-10
1259,-11
1260,-12
1261,-11
1262,-10
1263,-11
1264,-12
1265,-13
1266,-14
1267,-15
1268,-16
1269,-15
1270,-16
1271,-17
1272,-16
1273,-17
1274,-16
1275,-17
1276,-16
1277,-17
1278,-16
1279,-15
1280,-16
1281,-17
1282,-18
1283,-17
1284,-16
1285,-17
1286,-16
1287,-17
1288,-16
1289,-17
1290,-16
1291,-15
1292,-14
1293,-13
1294,-14
1295,-15
1296,-16
1297,-15
1298,-16
1299,-17
1300,-18
1301,-17
1302,-16
1303,-15
1304,-16
1305,-17
1306,-16
1307,-17
1308,-16
1309,-17
1310,-18
1311,-19
1312,-20
1313,-21
1314,-22
1315,-21
1316,-20
1317,-19
1318,-18
1319,-19
1320,-20
1321,-21
1322,-20
1323,-19
1324,-18
1325,-19
1326,-18
1327,-17
1328,-18
1329,-19
1330,-20
1331,-21
1332,-22
1333,-21
1334,-22
1335,-21
1336,-22
1337,-21
1338,-22
1339,-23
1340,-24
1341,-23
1342,-22
1343,-21
1344,-22
1345,-23
1346,-22
1347,-23
1348,-24
1349,-23
1350,-24
1351,-23
1352,-24
1353,-25
1354,-26
1355,-27
1356,-26
1357,-27
1358,-26
1359,-27
1360,-28
1361,-27
1362,-26
1363,-25
1364,-26
1365,-25
1366,-26
1367,-27
1368,-26
1369,-27
1370,-28
1371,-29
1372,-30
1373,-31
1374,-32
1375,-31
1376,-32
1377,-31
1378,-32
1379,-31
1380,-32
1381,-33
1382,-34
1383,-33
1384,-32
1385,-33
1386,-34
1387,-33
1388,-32
1389,-33
1390,-34
1391,-35
1392,-36
1393,-35
1394,-36
1395,-37
1396,-38
1397,-37
1398,-36
1399,-37
1400,-38
1401,-39
1402,-40
1403,-41
1404,-42
1405,-43
1406,-44
1407,-43
1408,-42
1409,-43
1410,-44
1411,-45
1412,-46
1413,-47
1414,-46
1415,-45
1416,-46
1417,-47
1418,-48
1419,-47
1420,-46
1421,-45
1422,-44
1423,-45
1424,-46
1425,-45
1426,-44
1427,-45
1428,-44
1429,-45
1430,-46
1431,-45
1432,-46
1433,-45
1434,-46
1435,-45
1436,-44
1437,-43
1438,-44
1439,-45
1440,-46
1441,-45
1442,-46
1443,-47
1444,-46
1445,-47
1446,-46
1447,-45
1448,-44
1449,-45
1450,-44
1451,-45
1452,-46
1453,-47
1454,-48
1455,-47
1456,-48
1457,-47
1458,-46
1459,-47
1460,-48
1461,-49
1462,-50
1463,-51
1464,-52
1465,-51
1466,-52
1467,-53
1468,-52
1469,-53
1470,-52
1471,-53
1472,-52
1473,-53
1474,-54
1475,-55
1476,-56
1477,-55
1478,-54
1479,-53
1480,-54
1481,-55
1482,-56
1483,-57
1484,-56
1485,-57
1486,-56
1487,-57
1488,-58
1489,-57
1490,-58
1491,-59
1492,-60
1493,-59
1494,-58
1495,-59
1496,-60
1497,-59
1498,-60
1499,-61
1500,-62
1501,-63
1502,-62
1503,-63
1504,-64
1505,-65
1506,-66
1507,-65
1508,-66
1509,-67
1510,-68
1511,-69
1512,-68
1513,-67
1514,-68
1515,-67
1516,-68
1517,-69
1518,-70
1519,-69
1520,-68
1521,-67
1522,-66
1523,-67
1524,-66
1525,-67
1526,-68
1527,-69
1528,-68
1529,-69
1530,-68
1531,-69
1532,-70
1533,-69
1534,-68
1535,-67
1536,-68
1537,-69
1538,-70
1539,-71
1540,-72
1541,-71
1542,-72
1543,-73
1544,-74
1545,-75
1546,-76
1547,-77
1548,-78
1549,-77
1550,-78
1551,-77
1552,-78
1553,-77
1554,-78
1555,-77
1556,-76
1557,-77
1558,-78
1559,-79
1560,-80
1561,-79
1562,-80
1563,-79
1564,-80
1565,-81
1566,-80
1567,-81
1568,-82
1569,-81
1570,-80
1571,-79
1572,-78
1573,-79
1574,-80
1575,-81
1576,-82
1577,-83
1578,-82
1579,-81
1580,-82
1581,-81
1582,-82
1583,-81
1584,-80
1585,-79
1586,-80
1587,-81
1588,-80
1589,-79
1590,-78
1591,-77
1592,-78
1593,-79
1594,-78
1595,-77
1596,-76
1597,-77
1598,-76
1599,-75
1600,-76
1601,-77
1602,-76
1603,-75
1604,-76
1605,-75
1606,-76
1607,-77
1608,-76
1609,-77
1610,-76
1611,-77
1612,-78
1613,-79
1614,-80
1615,-81
1616,-80
1617,-79
1618,-80
1619,-79
1620,-80
1621,-79
1622,-80
1623,-81
1624,-80
1625,-81
1626,-82
1627,-83
1628,-84
1629,-85
1630,-86
1631,-87
1632,-88
1633,-87
1634,-88
1635,-87
1636,-88
1637,-89
1638,-90
1639,-89
1640,-88
1641,-89
1642,-88
1643,-87
1644,-86
1645,-87
1646,-86
1647,-87
1648,-86
1649,-85
1650,-86
1651,-85
1652,-84
1653,-85
1654,-84
1655,-83
1656,-84
1657,-83
1658,-82
1659,-81
1660,-80
1661,-79
1662,-80
1663,-79
1664,-80
1665,-79
1666,-80
1667,-79
1668,-80
1669,-81
1670,-80
1671,-81
1672,-80
1673,-79
1674,-80
1675,-81
1676,-82
1677,-81
1678,-80
1679,-81
1680,-82
1681,-83
1682,-84
1683,-85
1684,-86
1685,-87
1686,-86
1687,-85
1688,-84
1689,-83
1690,-84
1691,-85
1692,-86
1693,-87
1694,-88
1695,-89
1696,-88
1697,-89
1698,-88
1699,-87
1700,-86
1701,-85
1702,-86
1703,-87
1704,-88
1705,-87
1706,-88
1707,-87
1708,-86
1709,-87
1710,-88
1711,-89
1712,-88
1713,-89
1714,-88
1715,-87
1716,-88
1717,-89
1718,-88
1719,-89
1720,-88
1721,-89
1722,-88
1723,-87
1724,-86
1725,-85
1726,-84
1727,-83
1728,-82
1729,-81
1730,-80
1731,-81
1732,-80
1733,-81
1734,-82
1735,-81
1736,-80
1737,-81
1738,-80
1739,-81
1740,-80
1741,-79
1742,-78
1743,-77
1744,-76
1745,-77
1746,-78
1747,-79
1748,-80
1749,-81
1750,-80
1751,-79
1752,-78
1753,-77
1754,-78
1755,-77
1756,-78
1757,-79
1758,-80
1759,-79
1760,-78
1761,-77
1762,-76
1763,-75
1764,-74
1765,-73
1766,-74
1767,-75
1768,-74
1769,-73
1770,-72
1771,-73
1772,-74
1773,-73
1774,-74
1775,-73
1776,-74
1777,-75
1778,-76
1779,-75
1780,-74
1781,-73
1782,-72
1783,-73
1784,-72
1785,-71
1786,-70
1787,-71
1788,-72
1789,-73
1790,-72
1791,-71
1792,-70
1793,-71
1794,-72
1795,-73
1796,-72
1797,-73
1798,-72
1799,-71
1800,-70
1801,-71
1802,-72
1803,-71
1804,-72
1805,-71
1806,-70
1807,-69
1808,-68
1809,-67
1810,-66
1811,-65
1812,-66
1813,-67
1814,-66
1815,-65
1816,-66
1817,-65
1818,-66
1819,-67
1820,-68
1821,-69
1822,-70
1823,-69
1824,-68
1825,-67
1826,-66
1827,-65
1828,-66
1829,-67
1830,-66
1831,-67
1832,-66
1833,-67
1834,-68
1835,-69
1836,-70
1837,-69
1838,-68
1839,-67
1840,-66
1841,-67
1842,-68
1843,-69
1844,-70
1845,-71
1846,-70
1847,-69
1848,-68
1849,-69
1850,-68
1851,-69
1852,-68
1853,-67
1854,-66
1855,-67
1856,-68
1857,-69
1858,-70
1859,-71
1860,-70
1861,-69
1862,-70
1863,-71
1864,-72
1865,-73
1866,-72
1867,-71
1868,-72
1869,-73
1870,-74
1871,-73
1872,-72
1873,-71
1874,-70
1875,-71
1876,-70
1877,-71
1878,-72
1879,-71
1880,-72
1881,-71
1882,-70
1883,-69
1884,-68
1885,-67
1886,-68
1887,-69
1888,-70
1889,-69
1890,-68
1891,-67
1892,-66
1893,-67
1894,-66
1895,-65
1896,-66
1897,-67
1898,-68
1899,-67
1900,-68
1901,-67
1902,-66
1903,-65
1904,-66
1905,-67
1906,-68
1907,-69
1908,-70
1909,-71
1910,-70
1911,-71
1912,-70
1913,-71
1914,-70
1915,-71
1916,-72
1917,-71
1918,-70
1919,-69
1920,-68
1921,-67
1922,-68
1923,-69
1924,-70
1925,-69
1926,-68
1927,-69
1928,-68
1929,-67
1930,-66
1931,-65
1932,-64
1933,-63
1934,-62
1935,-63
1936,-62
1937,-61
1938,-62
1939,-61
1940,-60
1941,-59
1942,-58
1943,-59
1944,-58
1945,-57
1946,-56
1947,-55
1948,-56
1949,-57
1950,-58
1951,-59
1952,-58
1953,-57
1954,-58
1955,-57
1956,-58
1957,-59
1958,-58
1959,-59
1960,-58
1961,-57
1962,-58
1963,-57
1964,-58
1965,-59
1966,-60
1967,-59
1968,-60
1969,-59
1970,-60
1971,-59
1972,-58
1973,-57
1974,-56
1975,-55
1976,-54
1977,-55
1978,-56
1979,-55
1980,-54
1981,-53
1982,-54
1983,-53
1984,-54
1985,-53
1986,-54
1987,-53
1988,-54
1989,-55
1990,-54
1991,-53
1992,-54
1993,-53
1994,-52
1995,-51
1996,-50
1997,-49
1998,-48
1999,-49
2000,-48
2001,-49
2002,-48
2003,-47
2004,-48
2005,-47
2006,-46
2007,-45
2008,-44
2009,-43
2010,-42
2011,-43
2012,-44
2013,-45
2014,-46
2015,-47
2016,-48
2017,-47
2018,-46
2019,-47
2020,-48
2021,-47
2022,-48
2023,-47
2024,-46
2025,-45
2026,-44
2027,-45
2028,-44
2029,-43
2030,-44
2031,-45
2032,-46
2033,-47
2034,-48
2035,-49
2036,-48
2037,-49
2038,-50
2039,-49
2040,-48
2041,-47
2042,-48
2043,-47
2044,-48
2045,-49
2046,-48
2047,-47
2048,-48
2049,-47
2050,-48
2051,-47
2052,-46
2053,-45
2054,-44
2055,-43
2056,-44
2057,-45
2058,-46
2059,-45
2060,-44
2061,-45
2062,-44
2063,-45
2064,-44
2065,-45
2066,-46
2067,-45
2068,-46
2069,-45
2070,-46
2071,-45
2072,-46
2073,-45
2074,-44
2075,-43
2076,-44
2077,-45
2078,-44
2079,-43
2080,-42
2081,-43
2082,-42
2083,-41
2084,-42
2085,-41
2086,-40
2087,-39
2088,-40
2089,-39
2090,-40
2091,-39
2092,-40
2093,-41
2094,-40
2095,-41
2096,-40
2097,-39
2098,-38
2099,-39
2100,-38
2101,-37
2102,-36
2103,-37
2104,-38
2105,-39
2106,-38
2107,-39
2108,-40
2109,-39
2110,-38
2111,-39
2112,-40
2113,-39
2114,-40
2115,-39
2116,-40
2117,-39
2118,-38
2119,-39
2120,-38
2121,-37
2122,-38
2123,-37
2124,-36
2125,-37
2126,-36
2127,-37
2128,-36
2129,-37
2130,-36
2131,-37
2132,-36
2133,-35
2134,-34
2135,-35
2136,-36
2137,-35
2138,-36
2139,-37
2140,-38
2141,-39
2142,-38
2143,-39
2144,-38
2145,-37
2146,-38
2147,-37
2148,-38
2149,-39
2150,-40
2151,-39
2152,-38
2153,-39
2154,-40
2155,-39
2156,-38
2157,-37
2158,-36
2159,-37
2160,-38
2161,-39
2162,-40
2163,-39
2164,-40
2165,-41
2166,-40
2167,-41
2168,-42
2169,-43
2170,-42
2171,-41
2172,-40
2173,-41
2174,-40
2175,-39
2176,-38
2177,-37
2178,-36
2179,-37
2180,-36
2181,-35
2182,-36
2183,-37
2184,-36
2185,-35
2186,-36
2187,-37
2188,-36
2189,-35
2190,-36
2191,-37
2192,-38
2193,-39
2194,-40
2195,-41
2196,-40
2197,-39
2198,-38
2199,-37
2200,-38
2201,-37
2202,-36
2203,-37
2204,-36
2205,-35
2206,-36
2207,-37
2208,-38
2209,-37
2210,-36
2211,-37
2212,-36
2213,-37
2214,-38
2215,-37
2216,-38
2217,-39
2218,-40
2219,-41
2220,-42
2221,-41
2222,-42
2223,-43
2224,-44
2225,-43
2226,-44
2227,-45
2228,-44
2229,-45
2230,-46
2231,-47
2232,-48
2233,-49
2234,-50
2235,-49
2236,-50
2237,-51
2238,-50
2239,-51
2240,-50
2241,-49
2242,-48
2243,-49
2244,-50
2245,-51
2246,-52
2247,-51
2248,-52
2249,-53
2250,-54
2251,-53
2252,-52
2253,-51
2254,-52
2255,-51
2256,-52
2257,-53
2258,-52
2259,-53
2260,-54
2261,-53
2262,-54
2263,-53
2264,-54
2265,-55
2266,-56
2267,-55
2268,-54
2269,-53
2270,-52
2271,-53
2272,-52
2273,-53
2274,-52
2275,-51
2276,-50
2277,-49
2278,-50
2279,-49
2280,-50
2281,-51
2282,-52
2283,-51
2284,-50
2285,-49
2286,-48
2287,-47
2288,-46
2289,-45
2290,-44
2291,-43
2292,-42
2293,-41
2294,-40
2295,-39
2296,-38
2297,-39
2298,-38
2299,-39
2300,-38
2301,-37
2302,-38
2303,-37
2304,-38
2305,-37
2306,-36
2307,-35
2308,-36
2309,-37
2310,-38
2311,-37
2312,-38
2313,-37
2314,-36
2315,-37
2316,-38
2317,-39
2318,-40
2319,-41
2320,-42
2321,-41
2322,-42
2323,-43
2324,-42
2325,-41
2326,-40
2327,-39
2328,-40
2329,-41
2330,-42
2331,-41
2332,-40
2333,-41
2334,-40
2335,-41
2336,-40
2337,-39
2338,-38
2339,-37
2340,-36
2341,-35
2342,-34
2343,-35
2344,-36
2345,-37
2346,-38
2347,-37
2348,-38
2349,-37
2350,-36
2351,-35
2352,-34
2353,-33
2354,-34
2355,-35
2356,-34
2357,-33
2358,-34
2359,-35
2360,-36
2361,-37
2362,-36
2363,-35
2364,-34
2365,-35
2366,-36
2367,-35
2368,-36
2369,-37
2370,-36
2371,-35
2372,-36
2373,-37
2374,-36
2375,-35
2376,-34
2377,-35
2378,-36
2379,-37
2380,-36
2381,-35
2382,-34
2383,-33
2384,-32
2385,-31
2386,-30
2387,-29
2388,-28
2389,-29
2390,-30
2391,-31
2392,-32
2393,-33
2394,-32
2395,-33
2396,-34
2397,-33
2398,-34
2399,-33
2400,-32
2401,-31
2402,-32
2403,-33
2404,-34
2405,-35
2406,-34
2407,-35
2408,-36
2409,-35
2410,-34
2411,-35
2412,-36
2413,-37
2414,-38
2415,-37
2416,-38
2417,-39
2418,-40
2419,-41
2420,-42
2421,-43
2422,-42
2423,-41
2424,-42
2425,-41
2426,-40
2427,-41
2428,-40
2429,-39
2430,-38
2431,-37
2432,-36
2433,-37
2434,-38
2435,-37
2436,-38
2437,-39
2438,-40
2439,-39
2440,-38
2441,-37
2442,-38
2443,-39
2444,-40
2445,-39
2446,-40
2447,-39
2448,-38
2449,-37
2450,-38
2451,-39
2452,-40
2453,-39
2454,-40
2455,-39
2456,-38
2457,-37
2458,-36
2459,-35
2460,-36
2461,-35
2462,-34
2463,-35
2464,-36
2465,-35
2466,-36
2467,-37
2468,-38
2469,-39
2470,-40
2471,-41
2472,-40
2473,-39
2474,-38
2475,-39
2476,-38
2477,-39
2478,-40
2479,-41
2480,-40
2481,-41
2482,-40
2483,-41
2484,-40
2485,-39
2486,-40
2487,-39
2488,-40
2489,-39
2490,-38
2491,-39
2492,-40
2493,-39
2494,-38
2495,-37
2496,-36
2497,-35
2498,-36
2499,-35
2500,-34
2501,-33
2502,-34
2503,-33
2504,-32
2505,-31
2506,-32
2507,-33
2508,-34
2509,-35
2510,-34
2511,-33
2512,-34
2513,-33
2514,-32
2515,-31
2516,-32
